Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,ETRS89_X,ETRS89_Y,Data_Instalacio,Data_DesInstalacio,Font
186,348408,C,Tuset,8,26,Galvany,05,Sarrià-Sant Gervasi,41.395450,2.152753,429172.441,4583003.592,29/01/2014,16/01/2015,OCI
187,348408,C,Tuset,17,26,Galvany,05,Sarrià-Sant Gervasi,41.396156,2.151564,429073.823,4583082.946,29/01/2014,16/01/2015,OCI
206,112208,C,Escudellers,53,02,el Barri Gòtic,01,Ciutat Vella,41.380127,2.176924,431177.000,4581283.000,05/02/2014,30/01/2015,OCI
207,86902,C,Nou de la Rambla,21,01,el Raval,01,Ciutat Vella,41.378273,2.173348,430876.000,4581080.000,05/02/2014,30/01/2015,OCI
208,46409,Pg,Born,19,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.384925,2.182772,431671.000,4581811.000,05/02/2014,30/01/2015,OCI
246,158901,Pl,Osca,2,18,Sants,03,Sants-Montjuïc,41.376198,2.138527,427962.000,4580878.000,23/06/2014,27/01/2015,OCI
267,179708,C,Lincoln,10,26,Galvany,05,Sarrià-Sant Gervasi,41.400261,2.150371,428978.600,4583539.700,23/01/2014,20/01/2015,OCI
268,21306,C,Arc del Teatre,5,01,el Raval,01,Ciutat Vella,41.378242,2.175112,431023.452,4581075.134,23/04/2014,29/01/2015,OCI
326,17706,C,Antoni de Capmany,41,18,Sants,03,Sants-Montjuïc,41.372210,2.132291,427436.084,4580440.516,27/01/2015,19/05/2015,TRÀNSIT
346,348408,C,Tuset,8,26,Galvany,05,Sarrià-Sant Gervasi,41.395450,2.152753,429172.441,4583003.592,29/01/2015,10/02/2016,OCI
347,348408,C,Tuset,17,26,Galvany,05,Sarrià-Sant Gervasi,41.396156,2.151564,429073.823,4583082.946,29/01/2015,10/02/2016,OCI
366,284804,C,Robador,31,01,el Raval,01,Ciutat Vella,41.379396,2.170909,430673.242,4581206.666,04/02/2015,06/10/2015,OCI
389,220200,C,Montserrat,4,01,el Raval,01,Ciutat Vella,41.377376,2.174657,430984.521,4580979.410,13/03/2015,26/10/2015,OCI
390,21306,C,Arc del Teatre,5,01,el Raval,01,Ciutat Vella,41.378242,2.175112,431023.452,4581075.134,12/03/2015,10/11/2015,OCI
391,223606,C,Muntaner,488,25,la Bonanova,05,Sarrià-Sant Gervasi,41.402959,2.137835,427933.645,4583849.558,13/03/2015,18/06/2015,TRÀNSIT
406,148307,Pg,Gràcia,124,31,la Vila de Gràcia,06,Gràcia,41.397772,2.158115,429623.234,4583256.978,19/12/2014,17/06/2016,TRÀNSIT
426,158901,Pl,Osca,10,18,Sants,03,Sants-Montjuïc,41.376104,2.138507,427960.147,4580867.570,04/06/2015,29/07/2015,OCI
428,281409,Ctra,Ribes,85,57,la Trinitat Vella,09,Sant Andreu,41.450047,2.189489,432300.276,4589035.544,13/05/2015,09/09/2015,TRÀNSIT
446,11200,C,Almogàvers,120,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.397383,2.190215,432306.225,4583188.274,17/06/2015,06/10/2015,OCI
447,249304,C,Pere IV,72,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.396785,2.192893,432529.511,4583119.782,17/06/2015,14/06/2016,OCI
466,66508,G.V.,Carles III,38,19,les Corts,04,Les Corts,41.382044,2.128501,427130.103,4581535.406,18/06/2015,10/02/2016,TRÀNSIT
486,326904,Pl,Sol,2,31,la Vila de Gràcia,06,Gràcia,41.401519,2.156852,429521.701,4583674.030,12/02/2015,16/12/2016,OCI
487,148307,Pg,Gràcia,111,31,la Vila de Gràcia,06,Gràcia,41.396968,2.158797,429679.400,4583167.165,01/01/2015,17/06/2016,TRÀNSIT
488,148307,Pg,Gràcia,81,07,la Dreta de l'Eixample,02,L'Eixample,41.394328,2.162069,429950.045,4582871.451,01/01/2015,29/06/2016,TRÀNSIT
489,148307,Pg,Gràcia,51,07,la Dreta de l'Eixample,02,L'Eixample,41.392571,2.164247,430130.284,4582674.660,01/01/2015,17/06/2016,TRÀNSIT
490,148307,Pg,Gràcia,27,07,la Dreta de l'Eixample,02,L'Eixample,41.390799,2.166440,430311.695,4582476.112,01/01/2015,17/06/2016,TRÀNSIT
491,148307,Pg,Gràcia,13,07,la Dreta de l'Eixample,02,L'Eixample,41.389653,2.167858,430429.031,4582347.780,01/01/2015,17/06/2016,TRÀNSIT
492,329902,C,Tamarit,89,10,Sant Antoni,02,L'Eixample,41.375415,2.156424,429457.687,4580776.359,11/03/2015,18/10/2016,TRÀNSIT
493,198804,Av,Paral·lel,167,11,el Poble Sec,03,Sants-Montjuïc,41.374891,2.156378,429453.316,4580718.234,11/03/2015,24/01/2017,TRÀNSIT
494,192502,C,Manso,1,10,Sant Antoni,02,L'Eixample,41.375392,2.158681,429646.454,4580771.979,11/03/2015,18/10/2016,TRÀNSIT
495,198804,Av,Paral·lel,139,11,el Poble Sec,03,Sants-Montjuïc,41.374886,2.158565,429636.151,4580715.896,11/03/2015,13/05/2022,TRÀNSIT
496,198804,Av,Paral·lel,115,11,el Poble Sec,03,Sants-Montjuïc,41.374878,2.161585,429888.694,4580712.564,11/03/2015,,TRÀNSIT
497,198804,Av,Paral·lel,81,11,el Poble Sec,03,Sants-Montjuïc,41.374850,2.166773,430322.548,4580705.233,11/03/2015,,TRÀNSIT
509,66508,G.V.,Carles III,41,20,la Maternitat i Sant Ramon,04,Les Corts,41.381147,2.128383,427119.246,4581435.937,13/04/2015,22/10/2016,SUPERILLA
510,343903,Trav,Corts,44,20,la Maternitat i Sant Ramon,04,Les Corts,41.379162,2.123099,426675.186,4581219.950,13/04/2015,22/10/2016,SUPERILLA
511,282252,Rier,Blanca,7,20,la Maternitat i Sant Ramon,04,Les Corts,41.377164,2.121833,426567.013,4580999.205,13/04/2015,22/10/2016,SUPERILLA
512,187207,Av,Madrid,7,20,la Maternitat i Sant Ramon,04,Les Corts,41.376114,2.123291,426687.828,4580881.452,01/04/2015,22/10/2016,SUPERILLA
513,187207,Av,Madrid,61,20,la Maternitat i Sant Ramon,04,Les Corts,41.377848,2.126167,426930.200,4581071.508,13/04/2015,22/10/2016,SUPERILLA
514,166513,Jard,Bacardí,s/n,20,la Maternitat i Sant Ramon,04,Les Corts,41.379878,2.125553,426881.176,4581297.386,13/04/2015,22/10/2016,SUPERILLA
