,id_instal,codi_carrer,tipus_via,nom_carrer,num_carrer,codi_barri,nom_barri,codi_districte,nom_districte,latitud,longitud,etrs89_x,etrs89_y,data_instalacio,data_desinstalacio,font,geometry,index_right,tram,descripció,coordenades
0,186,348408,C,Tuset,8,26,Galvany,5,Sarrià-Sant Gervasi,41.39545,2.152753,429172.441,4583003.592,29/01/2014,16/01/2015,OCI,POINT (2.152753 41.39545),103,104,Diagonal (Balmes a Pl. Francesc Macià),"2.145092239861253,41.39293570944426,2.154615811848437,41.395349647495"
1,187,348408,C,Tuset,17,26,Galvany,5,Sarrià-Sant Gervasi,41.396156,2.151564,429073.823,4583082.946,29/01/2014,16/01/2015,OCI,POINT (2.151564 41.396156),101,102,Travessera de Gràcia (Aribau a Via Augusta),"2.149330405746273,41.39593880954032,2.153194611211402,41.39842343750502"
2,206,112208,C,Escudellers,53,2,el Barri Gòtic,1,Ciutat Vella,41.380127,2.176924,431177.0,4581283.0,05/02/2014,30/01/2015,OCI,POINT (2.176924 41.380127),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
3,207,86902,C,Nou de la Rambla,21,1,el Raval,1,Ciutat Vella,41.378273,2.173348,430876.0,4581080.0,05/02/2014,30/01/2015,OCI,POINT (2.173348 41.378273),167,168,Paral.lel (Ronda de Sant Pau a Josep Carner),"2.167816301234855,41.37498443097444,2.170053678754829,41.37498037614426,2.175315866190084,41.37468859847726,2.175588886421747,41.37452956680852,2.175962748986153,41.37437372698415"
4,208,46409,Pg,Born,19,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.384925,2.182772,431671.0,4581811.0,05/02/2014,30/01/2015,OCI,POINT (2.182772 41.384925),201,202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
5,246,158901,Pl,Osca,2,18,Sants,3,Sants-Montjuïc,41.376198,2.138527,427962.0,4580878.0,23/06/2014,27/01/2015,OCI,POINT (2.138527 41.376198),133,134,Carrer de Sants (Premià a Carles III),"2.13056495482207,41.37551932892383,2.139029826571497,41.37532269074156"
6,267,179708,C,Lincoln,10,26,Galvany,5,Sarrià-Sant Gervasi,41.400261,2.150371,428978.6,4583539.7,23/01/2014,20/01/2015,OCI,POINT (2.150371 41.400261),75,76,Via Augusta (Príncep d'Astúries a Pl. Molina),"2.147653471793694,41.40121928040267,2.148612454237329,41.40122795823834,2.149319468370867,41.40116377786204,2.149973058345369,41.40100469770106,2.150831572315923,41.40073038508862,2.151260369793269,41.40049702229832"
7,268,21306,C,Arc del Teatre,5,1,el Raval,1,Ciutat Vella,41.378242,2.175112,431023.452,4581075.134,23/04/2014,29/01/2015,OCI,POINT (2.175112 41.378242),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
8,326,17706,C,Antoni de Capmany,41,18,Sants,3,Sants-Montjuïc,41.37221,2.132291,427436.084,4580440.516,27/01/2015,19/05/2015,TRÀNSIT,POINT (2.132291 41.37221),52,53,Carles III (Pl. Cerdà a Carrer de Sants),"2.13057066223685,41.37549364643724,2.132998067523066,41.36904159680072,2.133308933181741,41.36834111058725,2.133616935900771,41.36784007697501,2.135372323181004,41.36550401563166,2.135631481308142,41.36519081592456"
9,346,348408,C,Tuset,8,26,Galvany,5,Sarrià-Sant Gervasi,41.39545,2.152753,429172.441,4583003.592,29/01/2015,10/02/2016,OCI,POINT (2.152753 41.39545),103,104,Diagonal (Balmes a Pl. Francesc Macià),"2.145092239861253,41.39293570944426,2.154615811848437,41.395349647495"
10,347,348408,C,Tuset,17,26,Galvany,5,Sarrià-Sant Gervasi,41.396156,2.151564,429073.823,4583082.946,29/01/2015,10/02/2016,OCI,POINT (2.151564 41.396156),101,102,Travessera de Gràcia (Aribau a Via Augusta),"2.149330405746273,41.39593880954032,2.153194611211402,41.39842343750502"
